Permittivity  data per frequency,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,"Stirrer, RPM","Conductivity, mS/cm",Volume_V,Phase_Sh,Fs_in,Biomasse_X_in,Proteine_P_in,Biomasse_X_target,Proteine_P_target
-2.46767807,-1.48100662,-0.74196053,-0.67572212,-0.53300095,-0.32501316,-0.08710766,-0.05179453,-0.18704247,-0.18373656,-0.03942752,0.18444115,0.02579391,200.0,48.26682663,1.96822666666667,0,0.12,37.8123949139931,3.1095193418608,37.8123949139931,3.1095193418608
-2.37351608,-1.55793762,-0.88012505,-0.72560883,-0.56405163,-0.27656746,-0.12618923,-0.12873554,-0.20154715,-0.1631062,-0.06686044,0.21687537,0.04314375,200.0,48.27011871,1.9683165,0,0.12,37.8007553525727,3.18211130747315,37.8007553525727,3.18211130747315
-2.40782166,-1.59915543,-0.89239502,-0.74064255,-0.47281933,-0.227808,-0.09459877,-0.17868757,-0.1991477,-0.20832205,-0.02137327,0.22244054,0.07483375,200.0,48.27579117,1.96830633333333,0,0.12,37.7892655150233,3.25485370234839,37.7892655150233,3.25485370234839
-2.50204468,-1.48107529,-0.97391129,-0.76631927,-0.48852348,-0.31049442,-0.12011099,-0.16572809,-0.23279858,-0.27671742,-0.07671058,0.1452052,0.06643814,200.0,48.25740433,1.96829616666667,0,0.12,37.7781683198558,3.32774643450438,37.7781683198558,3.32774643450438
-2.50800705,-1.52610397,-1.05657387,-0.81175613,-0.53415585,-0.29874039,-0.12186718,-0.11565685,-0.23269153,-0.23990035,0.00123334,0.13518566,0.03547651,200.0,48.21573639,1.968286,0,0.12,37.7671922537454,3.400789411959,37.7671922537454,3.400789411959
-2.42902374,-1.50417328,-1.04374886,-0.7671814,-0.48918438,-0.25215435,-0.05051851,-0.07338333,-0.11759281,-0.26630187,0.03447247,0.1724636,0.0451616,200.0,48.21873093,1.96827583333333,0,0.12,37.7573738477358,3.47398254273011,37.7573738477358,3.47398254273011
-2.47223663,-1.40625763,-1.06633186,-0.76616859,-0.39258289,-0.23040485,-0.02255392,-0.10562801,-0.12994933,-0.30491138,0.02347505,0.14521247,0.12077123,200.0,48.21132278,1.96836566666667,0,0.12,37.7468703892797,3.54732573483559,37.7468703892797,3.54732573483559
-2.57601929,-1.53252411,-1.19058609,-0.84992409,-0.51688671,-0.30344486,-0.09690475,-0.16822863,-0.17818832,-0.34294415,-0.02224553,0.14687568,0.11663008,200.0,48.23027802,1.9683555,0,0.12,37.7380473634162,3.62081889629329,37.7380473634162,3.62081889629329
-2.629879,-1.31731415,-1.26261139,-0.85004044,-0.64043236,-0.30655003,-0.14740705,-0.27167177,-0.24325466,-0.40601826,-0.07290924,0.11259073,0.0625847,200.0,48.23436737,1.96834533333333,0,0.12,37.7292590572554,3.69446193512109,37.7292590572554,3.69446193512109
-2.60352325,-1.42378235,-1.29126549,-0.85126114,-0.63596916,-0.29718781,-0.12021828,-0.23257113,-0.22797298,-0.43014646,-0.03999782,0.11090726,0.04909998,200.0,48.228405,1.96833516666667,0,0.12,37.7226070910646,3.76825475933685,37.7226070910646,3.76825475933685
-2.54009247,-1.56485748,-1.19147873,-0.87724304,-0.67836189,-0.30966473,-0.20250845,-0.26729918,-0.19344807,-0.48984575,-0.11529016,0.10472602,-0.0146634,200.0,48.23546219,1.968325,0,0.12,37.7166000844334,3.84219727695844,37.7166000844334,3.84219727695844
-2.49354553,-1.55720139,-1.09437943,-0.85733795,-0.6555233,-0.30551338,-0.21949768,-0.24131012,-0.21662712,-0.45510769,-0.13086188,0.1093989,-0.01111406,200.0,48.21390915,1.96841483333333,0,0.12,37.7125113930809,3.91628939600374,37.7125113930809,3.91628939600374
-2.46665573,-1.55688858,-1.08171844,-0.80743217,-0.61625767,-0.28669739,-0.18615484,-0.18399906,-0.13444018,-0.40426159,-0.01041985,0.15961307,0.10194653,200.0,48.21854019,1.96840466666667,0,0.12,37.7094896191942,3.99053102449061,37.7094896191942,3.99053102449061
-2.40107727,-1.51600647,-1.10695267,-0.77416611,-0.54714012,-0.23330402,-0.17879486,-0.08430243,-0.09430218,-0.40418482,0.00810516,0.17010278,0.10055393,200.0,48.24887848,1.9683945,0,0.12,37.7074335932078,4.06492207043691,37.7074335932078,4.06492207043691
-2.28367615,-1.477005,-1.12795639,-0.77424431,-0.53063393,-0.22123241,-0.1227951,-0.17280245,-0.06532431,-0.26626205,0.15288341,0.16321963,0.04883617,200.0,48.21611404,1.96838433333333,0,0.12,37.707264877596,4.13946244186052,37.707264877596,4.13946244186052
